subject	fissure	mask	space	distances
sub-01	1	vermal	DeCon	0.6129850802332143
sub-02	1	vermal	DeCon	0.6336868116967791
sub-03	1	vermal	DeCon	0.8701850512807184
sub-04	1	vermal	DeCon	0.6185054143930278
sub-05	1	vermal	DeCon	0.5661246603894926
sub-06	1	vermal	DeCon	0.7322252920921996
sub-07	1	vermal	DeCon	0.5316450522093994
sub-08	1	vermal	DeCon	0.5923773003379775
sub-09	1	vermal	DeCon	0.912801271996252
sub-10	1	vermal	DeCon	0.7973189518564012
sub-11	1	vermal	DeCon	0.8098250981508467
sub-12	1	vermal	DeCon	0.7122574984759874
sub-13	1	vermal	DeCon	0.6528262883308569
sub-14	1	vermal	DeCon	0.686331160668741
sub-15	1	vermal	DeCon	0.7467725580562646
sub-16	1	vermal	DeCon	0.6656175178425666
sub-17	1	vermal	DeCon	0.7124450101966426
sub-18	1	vermal	DeCon	0.5440530336748447
sub-19	1	vermal	DeCon	0.8061075253117554
sub-20	1	vermal	DeCon	0.7309727225642018
sub-21	1	vermal	DeCon	0.6511046088509528
sub-22	1	vermal	DeCon	0.7581065583175874
sub-23	1	vermal	DeCon	0.9572066140153385
sub-24	1	vermal	DeCon	0.657980125264868
sub-25	1	vermal	DeCon	0.5731473668168362
sub-26	1	vermal	DeCon	0.8992896572780399
sub-27	1	vermal	DeCon	1.9078730018187013
sub-28	1	vermal	DeCon	0.70905902275992
sub-29	1	vermal	DeCon	0.687686487175822
sub-30	1	vermal	DeCon	1.0898686282341306
sub-31	1	vermal	DeCon	0.7043129934190291
sub-32	1	vermal	DeCon	0.768988420356714
sub-33	1	vermal	DeCon	0.7458398493254323
sub-34	1	vermal	DeCon	0.81305955901543
sub-35	1	vermal	DeCon	0.7470183332929857
sub-36	1	vermal	DeCon	0.7749110816516105
sub-37	1	vermal	DeCon	0.7557751341521911
sub-38	1	vermal	DeCon	0.7203081705818917
sub-39	1	vermal	DeCon	0.7678884482725413
sub-40	1	vermal	DeCon	0.8308767100962257
sub-41	1	vermal	DeCon	0.6585794531179163
sub-42	1	vermal	DeCon	2.452546275655187
sub-43	1	vermal	DeCon	0.7715635466788212
sub-44	1	vermal	DeCon	0.7305079715217597
sub-45	1	vermal	DeCon	0.9016354459731565
sub-46	1	vermal	DeCon	0.73843591486041
sub-47	1	vermal	DeCon	0.7868913920600544
sub-48	1	vermal	DeCon	0.7550234076513329
sub-49	1	vermal	DeCon	0.7395171377749096
sub-50	1	vermal	DeCon	7.2289993667155406
sub-51	1	vermal	DeCon	0.8730335533044999
sub-52	1	vermal	DeCon	0.7532116166221211
sub-53	1	vermal	DeCon	0.9274054831303581
sub-54	1	vermal	DeCon	0.7793302775029677
sub-55	1	vermal	DeCon	0.7458291117692185
sub-56	1	vermal	DeCon	0.7813332819801778
sub-57	1	vermal	DeCon	0.8266344190220718
sub-58	1	vermal	DeCon	0.7596843138487804
sub-59	1	vermal	DeCon	0.6937191343783509
sub-60	1	vermal	DeCon	0.8034025565843094
sub-61	1	vermal	DeCon	1.7054009777555472
sub-62	1	vermal	DeCon	0.7792137003407533
sub-63	1	vermal	DeCon	0.8811662842325725
sub-64	1	vermal	DeCon	0.8089286178109248
sub-65	1	vermal	DeCon	0.7454080008333999
sub-66	1	vermal	DeCon	0.7257506668891474
sub-67	1	vermal	DeCon	0.7219662857372656
sub-68	1	vermal	DeCon	0.8353894049594965
sub-69	1	vermal	DeCon	0.789440748488914
sub-70	1	vermal	DeCon	0.7667463259549884
sub-71	1	vermal	DeCon	0.7469511826172774
sub-72	1	vermal	DeCon	0.9305228046948187
sub-73	1	vermal	DeCon	0.7288377132582293
sub-74	1	vermal	DeCon	0.7368753770178766
sub-75	1	vermal	DeCon	0.7084207123714159
sub-76	1	vermal	DeCon	0.7832458967995944
sub-77	1	vermal	DeCon	0.8066739343005287
sub-78	1	vermal	DeCon	0.7642424268724045
sub-79	1	vermal	DeCon	0.8164283391372568
sub-80	1	vermal	DeCon	1.0272160927057148
sub-01	1	vermal	mni_ants	2.467788601825862
sub-02	1	vermal	mni_ants	2.3430370212601903
sub-03	1	vermal	mni_ants	2.5341991544417524
sub-04	1	vermal	mni_ants	2.5259992562198192
sub-05	1	vermal	mni_ants	2.3891204261031604
sub-06	1	vermal	mni_ants	2.277091999944619
sub-07	1	vermal	mni_ants	2.329059240994068
sub-08	1	vermal	mni_ants	2.247498045485091
sub-09	1	vermal	mni_ants	3.892068971336787
sub-10	1	vermal	mni_ants	2.594578804065081
sub-11	1	vermal	mni_ants	3.081634074472
sub-12	1	vermal	mni_ants	3.2438642221706653
sub-13	1	vermal	mni_ants	3.7695969878987747
sub-14	1	vermal	mni_ants	2.3304325991566843
sub-15	1	vermal	mni_ants	6.630941725867662
sub-16	1	vermal	mni_ants	2.917587748861415
sub-17	1	vermal	mni_ants	3.082132091437711
sub-18	1	vermal	mni_ants	3.1507455136292473
sub-19	1	vermal	mni_ants	3.629719429974475
sub-20	1	vermal	mni_ants	2.238200000381028
sub-21	1	vermal	mni_ants	2.45752822387439
sub-22	1	vermal	mni_ants	3.2106954682481423
sub-23	1	vermal	mni_ants	3.4069255192208763
sub-24	1	vermal	mni_ants	2.20124516884609
sub-25	1	vermal	mni_ants	2.4653456598778196
sub-26	1	vermal	mni_ants	5.565591557525898
sub-27	1	vermal	mni_ants	3.6976714423838106
sub-28	1	vermal	mni_ants	3.1357972959623175
sub-29	1	vermal	mni_ants	3.438817984624246
sub-30	1	vermal	mni_ants	3.0701895663839682
sub-31	1	vermal	mni_ants	2.3871292199242538
sub-32	1	vermal	mni_ants	2.3186017575528726
sub-33	1	vermal	mni_ants	2.1400203665184065
sub-34	1	vermal	mni_ants	4.383599939083506
sub-35	1	vermal	mni_ants	2.5684778098278893
sub-36	1	vermal	mni_ants	2.8800390506874964
sub-37	1	vermal	mni_ants	3.193293253829062
sub-38	1	vermal	mni_ants	3.43109089918603
sub-39	1	vermal	mni_ants	2.722556479973982
sub-40	1	vermal	mni_ants	4.290401996048102
sub-41	1	vermal	mni_ants	2.484290273220243
sub-42	1	vermal	mni_ants	8.605611941186087
sub-43	1	vermal	mni_ants	2.6019012097623455
sub-44	1	vermal	mni_ants	2.7297445820626334
sub-45	1	vermal	mni_ants	3.996644421589261
sub-46	1	vermal	mni_ants	3.2697440429678197
sub-47	1	vermal	mni_ants	4.38788580062191
sub-48	1	vermal	mni_ants	3.1327352818901346
sub-49	1	vermal	mni_ants	2.8640729140800696
sub-50	1	vermal	mni_ants	5.273457247778339
sub-51	1	vermal	mni_ants	2.941048396749984
sub-52	1	vermal	mni_ants	2.6977130318218485
sub-53	1	vermal	mni_ants	4.343716652115181
sub-54	1	vermal	mni_ants	2.8097683907542934
sub-55	1	vermal	mni_ants	2.1586220104016802
sub-56	1	vermal	mni_ants	2.916293623391058
sub-57	1	vermal	mni_ants	2.7577691159483066
sub-58	1	vermal	mni_ants	2.526863727355705
sub-59	1	vermal	mni_ants	2.654684738534823
sub-60	1	vermal	mni_ants	2.2050688534489655
sub-61	1	vermal	mni_ants	2.739108036460418
sub-62	1	vermal	mni_ants	4.404254343108559
sub-63	1	vermal	mni_ants	2.81462132486486
sub-64	1	vermal	mni_ants	2.576612326155299
sub-65	1	vermal	mni_ants	2.8599689636726553
sub-66	1	vermal	mni_ants	3.3835393821158184
sub-67	1	vermal	mni_ants	2.7172190436740076
sub-68	1	vermal	mni_ants	4.604478489599283
sub-69	1	vermal	mni_ants	2.48348782466324
sub-70	1	vermal	mni_ants	4.364956352452971
sub-71	1	vermal	mni_ants	3.3512154634787734
sub-72	1	vermal	mni_ants	3.1489167514231022
sub-73	1	vermal	mni_ants	2.5152878311127225
sub-74	1	vermal	mni_ants	2.973644668907546
sub-75	1	vermal	mni_ants	3.6648647642178354
sub-76	1	vermal	mni_ants	2.995364648507159
sub-77	1	vermal	mni_ants	2.501919866483562
sub-78	1	vermal	mni_ants	2.6991619952073296
sub-79	1	vermal	mni_ants	3.2210219972002907
sub-80	1	vermal	mni_ants	5.326171940774391
sub-01	1	vermal	suit	1.7560246756399143
sub-02	1	vermal	suit	1.8754677555613728
sub-03	1	vermal	suit	2.1553219363014824
sub-04	1	vermal	suit	2.266992703070999
sub-05	1	vermal	suit	1.635090510308049
sub-06	1	vermal	suit	2.0474548085026116
sub-07	1	vermal	suit	1.881433935924788
sub-08	1	vermal	suit	1.723591917972941
sub-09	1	vermal	suit	1.868111876101297
sub-10	1	vermal	suit	3.2428844351328823
sub-11	1	vermal	suit	1.850667385423701
sub-12	1	vermal	suit	2.1037987479983475
sub-13	1	vermal	suit	1.7235898109661518
sub-14	1	vermal	suit	1.8938188823542699
sub-15	1	vermal	suit	3.672356211805893
sub-16	1	vermal	suit	2.86463840297791
sub-17	1	vermal	suit	1.8386573013163183
sub-18	1	vermal	suit	3.266168011433215
sub-19	1	vermal	suit	2.8342200175585006
sub-20	1	vermal	suit	1.871892017138099
sub-21	1	vermal	suit	1.8062837753889869
sub-22	1	vermal	suit	2.915859344883659
sub-23	1	vermal	suit	3.7293377786142776
sub-24	1	vermal	suit	1.739141478658188
sub-25	1	vermal	suit	1.6810480737446545
sub-26	1	vermal	suit	5.2413727328374184
sub-27	1	vermal	suit	3.901458366755174
sub-28	1	vermal	suit	2.610317634860015
sub-29	1	vermal	suit	3.124244140325405
sub-30	1	vermal	suit	2.2766436550562026
sub-31	1	vermal	suit	1.810869381803251
sub-32	1	vermal	suit	1.6860094522504399
sub-33	1	vermal	suit	1.814505731326996
sub-34	1	vermal	suit	2.1829899565986253
sub-35	1	vermal	suit	2.1889263409368076
sub-36	1	vermal	suit	2.6062017220446467
sub-37	1	vermal	suit	1.6660571949204985
sub-38	1	vermal	suit	2.4295896919178617
sub-39	1	vermal	suit	1.9914510717844314
sub-40	1	vermal	suit	2.2049008528178047
sub-41	1	vermal	suit	1.8005549090714765
sub-42	1	vermal	suit	5.308469026177029
sub-43	1	vermal	suit	1.8045611441276463
sub-44	1	vermal	suit	1.86994898922709
sub-45	1	vermal	suit	1.993153629136463
sub-46	1	vermal	suit	2.073364693155252
sub-47	1	vermal	suit	2.5321716784830497
sub-48	1	vermal	suit	2.1568421438876957
sub-49	1	vermal	suit	2.0853746442881076
sub-50	1	vermal	suit	2.9233153026356113
sub-51	1	vermal	suit	1.7420355612867842
sub-52	1	vermal	suit	1.8387759914335589
sub-53	1	vermal	suit	2.8401117212206097
sub-54	1	vermal	suit	1.8700134092130594
sub-55	1	vermal	suit	3.525553180819006
sub-56	1	vermal	suit	3.2997307333854415
sub-57	1	vermal	suit	2.007215304606539
sub-58	1	vermal	suit	2.021565494211815
sub-59	1	vermal	suit	1.938422926048599
sub-60	1	vermal	suit	1.7610524268396783
sub-61	1	vermal	suit	2.087689709629715
sub-62	1	vermal	suit	2.3205417762432377
sub-63	1	vermal	suit	3.070387908872391
sub-64	1	vermal	suit	1.8437431033498188
sub-65	1	vermal	suit	2.1046496710458586
sub-66	1	vermal	suit	2.4916906464455706
sub-67	1	vermal	suit	1.9843810497644923
sub-68	1	vermal	suit	4.589989270075771
sub-69	1	vermal	suit	1.8430755366561937
sub-70	1	vermal	suit	3.6167499319325525
sub-71	1	vermal	suit	2.4623221224468046
sub-72	1	vermal	suit	1.846559844826072
sub-73	1	vermal	suit	1.9407176467726908
sub-74	1	vermal	suit	1.8719003860275434
sub-75	1	vermal	suit	2.0137095561072926
sub-76	1	vermal	suit	2.948844666624074
sub-77	1	vermal	suit	1.844602694848346
sub-78	1	vermal	suit	2.1273180418877895
sub-79	1	vermal	suit	3.249857161398172
sub-80	1	vermal	suit	3.3420287692888326
sub-01	1	cerebellar_mask	DeCon	1.803723449373608
sub-02	1	cerebellar_mask	DeCon	1.940610185481831
sub-03	1	cerebellar_mask	DeCon	1.9920233189156336
sub-04	1	cerebellar_mask	DeCon	1.8638306507754396
sub-05	1	cerebellar_mask	DeCon	1.9004112499665866
